Date,Price,Open,High,Low,Vol.,Change %
"Aug 05, 2024",235.95,229.85,238.85,229.55,31.48K,0.0454
"Aug 04, 2024",225.7,227.35,227.9,221,24.82K,-2.08%
"Aug 01, 2024",230.5,227.25,231.75,226.45,16.95K,0.0143
"Jul 31, 2024",227.25,229.2,231.15,225.25,19.19K,-0.85%
"Jul 30, 2024",229.2,230.5,235.4,227.1,22.04K,-0.69%
"Jul 29, 2024",230.8,230.85,233.2,228.25,15.92K,0.0017
"Jul 28, 2024",230.4,230.35,233.6,228.1,16.27K,0.0007
"Jul 25, 2024",230.25,232.55,233,229.8,13.31K,-1.90%
"Jul 24, 2024",234.7,231.35,235.45,228.55,26.64K,0.0154
"Jul 23, 2024",231.15,238,238.6,230.55,29.80K,-3.32%
"Jul 22, 2024",239.1,242.5,243.1,238.25,13.52K,-1.63%
"Jul 21, 2024",243.05,237.7,244.55,236.5,15.36K,0.0204
"Jul 18, 2024",238.2,241.85,241.85,233.6,20.95K,-2.14%
"Jul 17, 2024",243.4,243.6,245.4,240.5,14.40K,-1.60%
"Jul 16, 2024",247.35,245.5,247,241.8,17.47K,0.0079
"Jul 15, 2024",245.4,243.35,245.85,242.2,12.56K,0.0051
"Jul 14, 2024",244.15,249.3,249.5,248.5,0.00K,-2.52%
"Jul 11, 2024",250.45,245.75,249.7,241.2,19.84K,0.015
"Jul 10, 2024",246.75,247.1,247.1,247.1,0.00K,0.0043
"Jul 09, 2024",245.7,249,249,248.1,0.00K,-2.50%
"Jul 08, 2024",252,233.65,252.35,233.15,38.89K,0.0669
"Jul 07, 2024",236.2,236.7,236.7,236.7,0.00K,0.0256
"Jul 04, 2024",230.3,228.5,233.05,226.35,17.56K,0.0193
"Jul 02, 2024",225.95,228.05,228.05,228.05,0.00K,-1.37%
"Jul 01, 2024",229.1,231.15,233.05,230.5,0.01K,0.0106
"Jun 30, 2024",226.7,226.25,226.25,224.35,0.11K,-0.98%
"Jun 27, 2024",228.95,224.5,229.1,224.5,0.01K,0.0031
"Jun 26, 2024",228.25,229.35,229.35,229.35,0.00K,0.0084
